Membership No  Date Joined  Active  
    26222      2015-4-15    yes   
    36770      2019-3-13    yes   
    45700      2020-7-4     yes   
    25090      2017-9-9     yes   
    58562      2020-9-23    yes   
    99867      2017-11-10   yes   
    30473      2017-11-3    yes   
    13634      2019-6-1     yes   
    23087      2017-11-10   yes   
    41899      2017-10-21   yes   
    81167      2020-3-11    yes   
    50860      2018-3-1     yes   
    91304      2018-12-1    yes   
    21078      2020-2-6     yes   
